ID,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_46273,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_46274,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Atopobiaceae, g__Atopobium, s__uncultured_Actinomyces
ASV_46275,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Stomatobaculum, s__Eubacterium_sp.
ASV_46276,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Selenomonadaceae, g__Centipeda, s__uncultured_bacterium
ASV_46277,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Leptotrichiaceae, g__Leptotrichia, s__Leptotrichia_trevisanii
ASV_46278,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_46279,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Leptotrichiaceae, g__Leptotrichia, s__unclassified_Leptotrichia
ASV_46280,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__unidentified_eubacterium
ASV_46281,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__unidentified_eubacterium
ASV_46283,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptococcales, f__Peptococcaceae, g__Peptococcus, s__unclassified_Peptococcus
ASV_46285,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Atopobiaceae, g__Atopobium, s__unclassified_Atopobium
ASV_46286,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Defluviitaleaceae, g__Defluviitaleaceae_UCG-011, s__Lachnospiraceae_bacterium
ASV_46287,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Oribacterium, s__unclassified_Oribacterium
ASV_46288,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_46289,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__uncultured_Prevotellaceae
ASV_46290,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__unclassified_Prevotella_7
ASV_46291,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
